date,year,month,day,voltage,arus,power,energy,frequency,powerfactor
24/02/2021,2021,2,24,200.8,0.15,25.4,1.47,49.8,0.85
24/02/2021,2021,2,24,198.5,0.15,24.9,1.48,50,0.85
24/02/2021,2021,2,24,201.8,0.15,25.7,1.49,50,0.85
24/02/2021,2021,2,24,198.4,0.15,24.9,1.49,50,0.85
24/02/2021,2021,2,24,201.6,0.16,28.6,1.5,50.3,0.89
24/02/2021,2021,2,24,200.9,0.16,28.4,1.51,50,0.89
24/02/2021,2021,2,24,203.1,0.16,29,1.51,49.8,0.89
24/02/2021,2021,2,24,202.5,0.16,28.8,1.52,50,0.89
24/02/2021,2021,2,24,203.8,0.16,29.1,1.53,49.9,0.89
24/02/2021,2021,2,24,205.5,0.16,29.6,1.53,50,0.89
24/02/2021,2021,2,24,208.4,0.16,30.3,1.54,50,0.89
24/02/2021,2021,2,24,203.4,0.16,29,1.55,50,0.89
24/02/2021,2021,2,24,204.9,0.16,29.4,1.56,50,0.89
24/02/2021,2021,2,24,201.9,0.16,28.7,1.56,50,0.89
24/02/2021,2021,2,24,204,0.18,35,1.57,50.1,0.97
24/02/2021,2021,2,24,202.3,0.17,34.4,1.58,49.9,0.98
24/02/2021,2021,2,24,205.8,0.18,35.5,1.59,50,0.97
24/02/2021,2021,2,24,205.3,0.18,35.3,1.6,49.8,0.98
24/02/2021,2021,2,24,209.1,0.17,35.5,1.61,50,0.98
24/02/2021,2021,2,24,202.8,0.17,33.5,1.62,50,0.98
24/02/2021,2021,2,24,200.4,0.17,32.8,1.62,49.7,0.98
24/02/2021,2021,2,24,196.3,0.17,31.6,1.63,50,0.98
24/02/2021,2021,2,24,193,0.15,25.8,1.64,50,0.89
24/02/2021,2021,2,24,191.6,0.15,25.4,1.65,50,0.89
24/02/2021,2021,2,24,193.7,0.15,25.9,1.65,50,0.89
24/02/2021,2021,2,24,193.9,0.15,25.9,1.66,50,0.89
24/02/2021,2021,2,24,193.8,0.15,25.9,1.67,50,0.89
24/02/2021,2021,2,24,196.8,0.15,26.6,1.67,49.9,0.89
24/02/2021,2021,2,24,196.4,0.15,26.5,1.68,50,0.89
24/02/2021,2021,2,24,198.2,0.15,27,1.69,50,0.89
24/02/2021,2021,2,24,199.3,0.15,27.2,1.69,49.9,0.89
24/02/2021,2021,2,24,198.5,0.15,26.9,1.7,50,0.89
24/02/2021,2021,2,24,199.9,0.15,27.3,1.71,50,0.89
24/02/2021,2021,2,24,198.1,0.15,26.9,1.71,50,0.89
24/02/2021,2021,2,24,194,0.15,26,1.72,49.9,0.89
24/02/2021,2021,2,24,191.9,0.15,25.5,1.73,49.9,0.89
24/02/2021,2021,2,24,198.6,0.15,27.1,1.73,50,0.89
24/02/2021,2021,2,24,198.5,0.15,27,1.74,49.8,0.89
24/02/2021,2021,2,24,197.9,0.15,26.9,1.75,50,0.89
24/02/2021,2021,2,24,195,0.15,26.2,1.75,50,0.9
24/02/2021,2021,2,24,199.9,0.15,27.3,1.76,50,0.89
24/02/2021,2021,2,24,198.9,0.15,24.6,1.77,50,0.85
24/02/2021,2021,2,24,190.5,0.14,22.7,1.77,50,0.85
24/02/2021,2021,2,24,189.2,0.14,22.4,1.78,49.9,0.85
25/02/2021,2021,2,25,194.6,0.14,23.6,1.78,50,0.85
25/02/2021,2021,2,25,192.1,0.14,23.1,1.79,50,0.85
25/02/2021,2021,2,25,192.8,0.14,23.2,1.79,49.7,0.85
25/02/2021,2021,2,25,191.4,0.14,22.9,1.8,49.9,0.85
25/02/2021,2021,2,25,194,0.14,23.5,1.81,49.9,0.86
25/02/2021,2021,2,25,194.9,0.14,23.7,1.81,49.9,0.86
25/02/2021,2021,2,25,194.4,0.14,23.5,1.82,49.9,0.85
25/02/2021,2021,2,25,192.5,0.14,23.2,1.82,50,0.85
25/02/2021,2021,2,25,195.7,0.14,23.8,1.83,49.9,0.85
25/02/2021,2021,2,25,193.4,0.14,23.3,1.84,49.9,0.85
25/02/2021,2021,2,25,198.8,0.15,24.5,1.84,50,0.85
25/02/2021,2021,2,25,197.3,0.14,24.2,1.85,49.9,0.86
25/02/2021,2021,2,25,202,0.15,25.2,1.85,50,0.85
25/02/2021,2021,2,25,202.2,0.15,25.2,1.86,49.9,0.85
25/02/2021,2021,2,25,200.9,0.15,24.9,1.87,50,0.85
25/02/2021,2021,2,25,200.9,0.15,24.9,1.87,50,0.85
25/02/2021,2021,2,25,203.2,0.15,25.5,1.88,50,0.85
25/02/2021,2021,2,25,203.3,0.15,25.5,1.89,49.8,0.85
25/02/2021,2021,2,25,203.9,0.15,25.6,1.89,50,0.85
25/02/2021,2021,2,25,205.8,0.15,26.1,1.9,50,0.85
25/02/2021,2021,2,25,205.7,0.15,26,1.91,50.1,0.85
25/02/2021,2021,2,25,208.2,0.15,26.6,1.91,50,0.85
25/02/2021,2021,2,25,207.5,0.15,26.4,1.92,50,0.85
25/02/2021,2021,2,25,205.8,0.15,26,1.93,49.7,0.85
25/02/2021,2021,2,25,204.9,0.15,25.9,1.93,50,0.85
25/02/2021,2021,2,25,205.4,0.15,26,1.94,49.9,0.85
25/02/2021,2021,2,25,204.1,0.15,25.6,1.94,50,0.85
25/02/2021,2021,2,25,205.3,0.15,25.9,1.95,49.9,0.85
25/02/2021,2021,2,25,206.4,0.15,26.2,1.96,49.8,0.85
25/02/2021,2021,2,25,209.1,0.15,26.8,1.96,50,0.85
25/02/2021,2021,2,25,207.3,0.15,26.4,1.97,50,0.85
25/02/2021,2021,2,25,205.8,0.15,26.1,1.98,50.1,0.85
25/02/2021,2021,2,25,209.6,0.15,26.9,1.98,50,0.85
25/02/2021,2021,2,25,206.7,0.15,26.2,1.99,49.9,0.85
25/02/2021,2021,2,25,205.9,0.15,26,2,49.8,0.85
25/02/2021,2021,2,25,205.5,0.15,26,2,50.1,0.85
25/02/2021,2021,2,25,204,0.15,25.6,2.01,50,0.85
25/02/2021,2021,2,25,204.3,0.15,25.7,2.02,49.9,0.85
25/02/2021,2021,2,25,199.2,0.15,24.6,2.02,50,0.85
25/02/2021,2021,2,25,200.3,0.15,24.8,2.03,49.9,0.85
25/02/2021,2021,2,25,194.8,0.14,23.6,2.04,50,0.85
25/02/2021,2021,2,25,195.5,0.14,23.8,2.04,49.9,0.85
25/02/2021,2021,2,25,191.7,0.14,23,2.05,50,0.86
25/02/2021,2021,2,25,200.7,0.15,24.9,2.05,49.8,0.86
25/02/2021,2021,2,25,198.1,0.14,24.3,2.06,49.9,0.85
